date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:50	843616/843616	---M--	200	added ('OK')	application/pdf	etag:%22cdf60-45e5297166880%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/07MaximumFlow-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/07MaximumFlow-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:50	3782974/3782974	---M--	200	added ('OK')	application/pdf	etag:%2239b93e-45e52931811c0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/05Multiplication-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/05Multiplication-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:22:51	293629/293629	---M--	200	added ('OK')	application/pdf	etag:%2247afd-45e52966e8fc0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/07AssignmentProblem-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/07AssignmentProblem-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:00	669067/669067	---M--	200	added ('OK')	application/pdf	etag:%22a358b-45e529d67d700%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/08Intractability-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/08Intractability-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:00	4866730/4866730	---M--	200	added ('OK')	application/pdf	etag:%224a42aa-45e529c82f540%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/07MaximumFlowApplications.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/07MaximumFlowApplications.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:00	1195559/1195559	---M--	200	added ('OK')	application/pdf	etag:%22123e27-45e52a5648480%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/08PolynomialTimeReductions-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/08PolynomialTimeReductions-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:01	4873366/4873366	---M--	200	added ('OK')	application/pdf	etag:%224a5c96-45e5299c50dc0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/07MaximumFlowApplications-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/07MaximumFlowApplications-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:03	526743/526743	---M--	200	added ('OK')	application/pdf	etag:%2280997-45e52a658a880%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/09PSPACE-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/09PSPACE-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:11	654272/654272	---M--	200	added ('OK')	application/pdf	etag:%229fbc0-45e5336d3f680%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/10ExtendingTractability-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/10ExtendingTractability-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:12	6221365/6221365	---M--	200	added ('OK')	application/pdf	etag:%225eee35-45e52a4bcabc0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/08NPComplete.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/08NPComplete.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:13	1350454/1350454	---M--	200	added ('OK')	application/pdf	etag:%22149b36-45e52a831ae40%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/11ApproximationAlgorithms-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/11ApproximationAlgorithms-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:14	6225851/6225851	---M--	200	added ('OK')	application/pdf	etag:%225effbb-45e52a1386700%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/08NPComplete-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/08NPComplete-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:15	740466/740466	---M--	200	added ('OK')	application/pdf	etag:%22b4c72-45e52a9539900%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/12LocalSearch-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/12LocalSearch-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
19:23:16	948061/948061	---M--	200	added ('OK')	application/pdf	etag:%22e775d-45e52aa940840%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/13RandomizedAlgorithms-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/13RandomizedAlgorithms-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/)
