date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:23:20	3208695/3208695	---M--	200	added ('OK')	application/pdf	etag:%2230f5f7-59c2ef1db75ca%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/UnionFind.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/UnionFind.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:20	1026150/1026150	---M--	200	added ('OK')	application/pdf	etag:%22fa866-56b7202652d2f%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/LinearProgrammingII.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/LinearProgrammingII.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:21	269/269	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Mar%202020%2022:23:21%20GMT	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson.1d.delayed	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:22	16508/16508	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Mar%202020%2022:23:22%20GMT	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pearson/	www.cs.princeton.edu/_wayne/kleinberg-tardos/pearson/index.html	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:22	1042905/1042905	---M--	200	added ('OK')	application/pdf	etag:%22fe9d9-56b72025c29e6%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/LinearProgrammingIII.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/LinearProgrammingIII.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:24	316966/316966	---M--	200	added ('OK')	application/pdf	etag:%224d626-56b71ffc908b2%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/01DemoGaleShapley.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/01DemoGaleShapley.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:26	214133/214133	---M--	200	added ('OK')	application/pdf	etag:%2234475-56b71fff72716%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/02DemoBinarySearch.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/02DemoBinarySearch.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:38	2341163/2341163	---M--	200	added ('OK')	application/pdf	etag:%2223b92b-59c2eeef6435b%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/02AlgorithmAnalysis-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/02AlgorithmAnalysis-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:42	236803/236803	---M--	200	added ('OK')	application/pdf	etag:%2239d03-56b72002f0bdb%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04DemoEarliestFinishTimeFirst.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04DemoEarliestFinishTimeFirst.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:42	5763244/5763244	---M--	200	added ('OK')	application/pdf	etag:%2257f0ac-56b71ffd1c0b0%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/01StableMatching-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/01StableMatching-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:44	4805894/4805894	---M--	200	added ('OK')	application/pdf	etag:%22495506-585894e7e95a8%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/03Graphs-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/03Graphs-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:45	286063/286063	---M--	200	added ('OK')	application/pdf	etag:%2245d6f-56b72003db450%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04DemoEarliestStartTimeFirst.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04DemoEarliestStartTimeFirst.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
19:23:45	9059552/9059552	---M--	200	added ('OK')	application/pdf	etag:%228a3ce0-59f6d09e52aea%22	https://www.cs.princeton.edu/~wayne/kleinberg-tardos/pdf/04GreedyAlgorithmsI-2x2.pdf	www.cs.princeton.edu/_wayne/kleinberg-tardos/pdf/04GreedyAlgorithmsI-2x2.pdf	(from https://www.cs.princeton.edu/~wayne/kleinberg-tardos/)
